degree,sql,excel,access,python,java,hadoop,tableau,matlab,spark,microsoft,oracl,vba,hive,spss,mysql,pig,stata,sqlserver,r,sas
bachelor,66,107,297,221,207,218,18,204,204,58,26,4,9,8,1,8,2,0,350,39
master,519,527,513,371,14,25,165,13,16,86,37,10,15,9,18,4,54,0,506,46
phd,482,576,171,158,15,61,127,15,41,115,61,50,29,19,8,7,10,3,535,122
