word,counts
sql,1067
excel,1210
access,981
python,750
java,236
hadoop,304
tableau,310
matlab,232
spark,261
microsoft,259
oracl,124
vba,64
hive,53
spss,36
mysql,27
pig,19
stata,66
sqlserver,3
r,1391
sas,207
