,sql,excel,access,python,java,hadoop,tableau,matlab,spark,microsoft,oracl,vba,hive,spss,mysql,pig,stata,sqlserver,r,sas,degree,year_group
62,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
63,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
64,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,phd,less than 2
65,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
66,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,3-5
68,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,master,less than 2
69,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,bachelor,less than 2
70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
71,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,master,less than 2
72,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,3-5
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
74,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
75,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
76,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
78,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,phd,less than 2
79,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,master,less than 2
81,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
82,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
83,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,master,less than 2
84,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,phd,less than 2
85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,phd,less than 2
86,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,bachelor,less than 2
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
88,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
89,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
90,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,bachelor,less than 2
91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
93,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
95,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,phd,greater than 5
96,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,3-5
98,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,master,less than 2
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
102,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
103,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,master,less than 2
105,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,phd,less than 2
106,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,phd,less than 2
107,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,phd,less than 2
108,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,bachelor,less than 2
109,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
112,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
114,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
115,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
116,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,phd,less than 2
117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
118,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
119,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,phd,less than 2
120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
121,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
122,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,phd,3-5
123,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
124,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,phd,less than 2
125,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,master,less than 2
126,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
128,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
129,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
130,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bachelor,less than 2
131,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,phd,3-5
132,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,bachelor,less than 2
133,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
134,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,bachelor,less than 2
135,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
136,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,phd,less than 2
138,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,phd,less than 2
139,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
141,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
142,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,less than 2
144,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,master,less than 2
